,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0046872,metal ion binding,3.12736274469971e-20,True,"""Interacting selectively and non-covalently with any metal ion."" [GOC:ai]",4016,95,62,21090,0.6526315789473685,0.015438247011952191,query_1,['GO:0043169']
1,GO:MF,GO:0043169,cation binding,1.234756491631109e-19,True,"""Interacting selectively and non-covalently with cations, charged atoms or groups of atoms with a net positive charge."" [GOC:jl]",4118,95,62,21090,0.6526315789473685,0.015055852355512385,query_1,['GO:0043167']
2,GO:MF,GO:0003677,DNA binding,1.1028094266167127e-18,True,"""Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb, GOC:vw]",2135,95,46,21090,0.4842105263157895,0.021545667447306793,query_1,['GO:0003676']
3,GO:MF,GO:0003676,nucleic acid binding,3.752910233224038e-12,True,"""Interacting selectively and non-covalently with any nucleic acid."" [GOC:jl]",3700,95,50,21090,0.5263157894736842,0.013513513513513514,query_1,"['GO:0097159', 'GO:1901363']"
4,GO:MF,GO:0043167,ion binding,7.401632037769245e-12,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",6168,95,64,21090,0.6736842105263158,0.010376134889753566,query_1,['GO:0005488']
5,GO:BP,GO:0006351,"transcription, DNA-templated",3.360835320903701e-11,True,"""The cellular synthesis of RNA on a template of DNA."" [GOC:jl, GOC:txnOH]",3419,93,47,21272,0.5053763440860215,0.01374670956420006,query_1,"['GO:0010467', 'GO:0034645', 'GO:0097659']"
6,GO:BP,GO:0006355,"regulation of transcription, DNA-templated",5.274245198472766e-11,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3310,93,46,21272,0.4946236559139785,0.013897280966767372,query_1,"['GO:0006351', 'GO:0010468', 'GO:1903506', 'GO:2000112']"
7,GO:BP,GO:0097659,nucleic acid-templated transcription,6.093266849234523e-11,True,"""The cellular synthesis of RNA on a template of nucleic acid (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]",3472,93,47,21272,0.5053763440860215,0.013536866359447005,query_1,['GO:0032774']
8,GO:BP,GO:0032774,RNA biosynthetic process,7.038265499612141e-11,True,"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",3485,93,47,21272,0.5053763440860215,0.013486370157819226,query_1,"['GO:0009059', 'GO:0016070', 'GO:0034654']"
9,GO:MF,GO:0003700,DNA-binding transcription factor activity,8.695789973466449e-11,True,"""A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]",1093,95,27,21090,0.28421052631578947,0.024702653247941447,query_1,['GO:0140110']
